id_avaliacao;data;canal;regiao;loja;nota;categoria;texto_avaliacao;sentimento;tema_principal
AV0001;15/04/2023;loja_fisica;Norte;VLR-AM-01;3;vestuario;A numeração do calçado não bateu exatamente. Meu 38 usual ficou apertado.;neutro;tamanho e caimento
AV0002;28/01/2023;loja_fisica;Sudeste;VLR-SP-04;2;vestuario;Botão saiu na primeira semana. Acabamento muito ruim.;negativo;qualidade do produto
AV0003;13/06/2023;loja_fisica;Nordeste;VLR-PB-01;3;vestuario;Produto agradável, mas o acabamento poderia ser melhor.;neutro;qualidade do produto
AV0004;25/01/2024;loja_fisica;Centro-Oeste;VLR-GO-03;5;vestuario;A qualidade do tecido é incrível, vale cada centavo.;positivo;qualidade do produto
AV0005;08/05/2023;app;Centro-Oeste;VLR-DF-01;5;vestuario;Ótimo custo-benefício. Produto de qualidade a um preço justo.;positivo;preço
AV0006;22/12/2024;loja_fisica;Sul;VLR-RS-01;5;calcados;Produto de ótima qualidade, superou minhas expectativas!;positivo;qualidade do produto
AV0007;14/04/2023;site;Nordeste;VLR-PB-01;5;vestuario;Preço competitivo para a qualidade que entrega. Muito satisfeita!;positivo;preço
AV0008;17/11/2024;app;Sudeste;VLR-RJ-01;3;vestuario;Demorou mais do que o prazo informado no site. Precisei acompanhar pelo SAC.;neutro;entrega
AV0009;24/01/2024;app;Norte;VLR-AM-01;2;vestuario;O processo de troca é muito lento e burocrático.;negativo;troca e devolução
AV0010;20/11/2023;site;Centro-Oeste;VLR-GO-02;5;calcados;Preço competitivo para a qualidade que entrega. Muito satisfeita!;positivo;preço
AV0011;26/05/2024;loja_fisica;Norte;VLR-RO-01;5;vestuario;Comprei durante a promoção e foi um excelente negócio.;positivo;preço
AV0012;21/08/2024;loja_fisica;Nordeste;VLR-RN-01;3;vestuario;Comprei esperando mais. Não é ruim, mas também não encantou.;neutro;qualidade do produto
AV0013;04/04/2023;loja_fisica;Sudeste;VLR-SP-03;5;vestuario;Produto de ótima qualidade, superou minhas expectativas!;positivo;qualidade do produto
AV0014;30/01/2024;app;Nordeste;VLR-PE-01;5;calcados;Comprei durante a promoção e foi um excelente negócio.;positivo;preço
AV0015;28/04/2023;loja_fisica;Sul;VLR-PR-01;4;calcados;Recebi em dois dias, muito mais rápido do que esperava. Ótimo serviço!;positivo;entrega
AV0016;27/09/2023;loja_fisica;Norte;VLR-MA-01;2;acessorios;A costura soltou depois da primeira lavagem. Muito decepcionante.;negativo;qualidade do produto
AV0017;15/06/2023;site;Centro-Oeste;VLR-GO-02;4;vestuario;Produto premium com um acabamento impecável. Adorei!;positivo;qualidade do produto
AV0018;11/11/2023;app;Centro-Oeste;VLR-GO-03;2;acessorios;A costura soltou depois da primeira lavagem. Muito decepcionante.;negativo;qualidade do produto
AV0019;12/03/2023;site;Nordeste;VLR-BA-02;5;calcados;Caiu certinho! A tabela de tamanhos é muito precisa.;positivo;tamanho e caimento
AV0020;13/09/2024;app;Nordeste;VLR-BA-03;5;vestuario;Vale muito o preço. Produto durável e bonito.;positivo;qualidade do produto
AV0021;18/11/2024;site;Sul;VLR-SC-02;5;vestuario;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0022;25/08/2024;app;Sul;VLR-PR-02;3;vestuario;Gostei do produto mas esperava mais pelo valor que paguei.;neutro;preço
AV0023;02/02/2023;loja_fisica;Norte;VLR-AM-01;5;vestuario;Chegou antes do prazo! Embalagem caprichada e produto em perfeito estado.;positivo;entrega
AV0024;07/08/2024;loja_fisica;Sul;VLR-SC-01;5;vestuario;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0025;05/11/2024;site;Nordeste;VLR-CE-01;5;vestuario;Preço competitivo para a qualidade que entrega. Muito satisfeita!;positivo;preço
AV0026;23/10/2024;loja_fisica;Sudeste;VLR-SP-01;5;calcados;Produto de ótima qualidade, superou minhas expectativas!;positivo;qualidade do produto
AV0027;14/07/2023;app;Sudeste;VLR-SP-02;5;vestuario;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0028;19/03/2023;loja_fisica;Nordeste;VLR-CE-01;3;acessorios;Comprei esperando mais. Não é ruim, mas também não encantou.;neutro;qualidade do produto
AV0029;31/08/2023;loja_fisica;Norte;VLR-MA-01;5;acessorios;A moça da loja foi incrível, paciente e me deu ótimas sugestões.;positivo;atendimento
AV0030;03/01/2023;app;Sudeste;VLR-SP-01;5;vestuario;Preço competitivo para a qualidade que entrega. Muito satisfeita!;positivo;preço
AV0031;13/05/2024;loja_fisica;Sudeste;VLR-MG-01;5;calcados;Equipe super prestativa e simpática. Me senti muito bem atendida.;positivo;atendimento
AV0032;18/11/2023;loja_fisica;Centro-Oeste;VLR-DF-01;1;vestuario;Paguei e não recebi. Já se passaram 30 dias e nenhuma solução.;negativo;entrega
AV0033;04/06/2024;app;Sul;VLR-PR-03;5;vestuario;Material excelente, muito bem acabado. Recomendo demais!;positivo;qualidade do produto
AV0034;06/08/2024;app;Norte;VLR-AM-01;4;vestuario;Fui muito bem atendida. A equipe conhece bem os produtos.;positivo;atendimento
AV0035;29/07/2023;loja_fisica;Sul;VLR-RS-01;2;acessorios;O processo de troca é muito lento e burocrático.;negativo;troca e devolução
AV0036;16/03/2023;loja_fisica;Centro-Oeste;VLR-GO-03;5;vestuario;Nunca me decepcionei com a qualidade dos produtos da Valore. Sempre perfeito.;positivo;qualidade do produto
AV0037;02/06/2024;site;Sul;VLR-PR-02;5;vestuario;Entrega rápida e produto embalado com cuidado. Aprovadíssimo!;positivo;entrega
AV0038;24/03/2024;site;Centro-Oeste;VLR-GO-03;5;vestuario;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0039;14/11/2024;app;Centro-Oeste;VLR-DF-01;5;vestuario;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0040;20/07/2024;site;Norte;VLR-PA-01;2;acessorios;A qualidade não condiz com o valor cobrado. Produto muito frágil.;negativo;qualidade do produto
AV0041;28/09/2023;app;Centro-Oeste;VLR-GO-02;5;calcados;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0042;11/10/2023;site;Centro-Oeste;VLR-GO-01;5;calcados;Produto de ótima qualidade, superou minhas expectativas!;positivo;qualidade do produto
AV0043;28/03/2024;site;Centro-Oeste;VLR-GO-03;4;vestuario;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0044;14/01/2024;loja_fisica;Norte;VLR-PA-02;5;vestuario;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0045;10/02/2023;loja_fisica;Nordeste;VLR-CE-03;1;acessorios;Péssima qualidade. O produto veio com defeito de fábrica.;negativo;qualidade do produto
AV0046;21/02/2024;app;Nordeste;VLR-RN-01;3;acessorios;Gostei do produto mas esperava mais pelo valor que paguei.;neutro;preço
AV0047;07/12/2023;site;Nordeste;VLR-PE-01;5;vestuario;Vale muito o preço. Produto durável e bonito.;positivo;preço
AV0048;26/04/2024;loja_fisica;Centro-Oeste;VLR-MT-01;5;acessorios;Equipe super prestativa e simpática. Me senti muito bem atendida.;positivo;atendimento
AV0049;06/11/2024;loja_fisica;Sudeste;VLR-SP-04;5;vestuario;A moça da loja foi incrível, paciente e me deu ótimas sugestões.;positivo;atendimento
AV0050;05/06/2024;loja_fisica;Centro-Oeste;VLR-GO-03;1;vestuario;Não consegui cancelar o pedido. O SAC é inoperante.;negativo;atendimento
AV0051;29/09/2023;loja_fisica;Sul;VLR-SC-02;1;vestuario;Paguei e não recebi. Já se passaram 30 dias e nenhuma solução.;negativo;entrega
AV0052;07/06/2024;loja_fisica;Sul;VLR-RS-01;5;vestuario;Nunca me decepcionei com a qualidade dos produtos da Valore. Sempre perfeito.;positivo;qualidade do produto
AV0053;05/07/2024;loja_fisica;Sul;VLR-RS-02;1;vestuario;Me enviaram o produto de outra pessoa. Uma bagunça total.;negativo;entrega
AV0054;10/11/2024;loja_fisica;Sudeste;VLR-RJ-01;5;calcados;A qualidade do tecido é incrível, vale cada centavo.;positivo;qualidade do produto
AV0055;21/07/2024;loja_fisica;Sul;VLR-RS-02;4;calcados;Equipe super prestativa e simpática. Me senti muito bem atendida.;positivo;atendimento
AV0056;05/11/2023;app;Sudeste;VLR-SP-03;3;calcados;Comprei esperando mais. Não é ruim, mas também não encantou.;neutro;qualidade do produto
AV0057;28/03/2024;loja_fisica;Norte;VLR-RO-01;3;vestuario;Produto mediano. Para o preço cobrado, esperava mais acabamento.;neutro;qualidade do produto
AV0058;10/12/2023;app;Nordeste;VLR-PI-01;3;calcados;Tive que trocar de tamanho. A numeração parece inconsistente entre os modelos.;neutro;tamanho e caimento
AV0059;01/05/2024;loja_fisica;Centro-Oeste;VLR-GO-01;3;vestuario;O caimento não ficou como na foto, mas o produto tem boa qualidade de material.;neutro;tamanho e caimento
